,year,solver,track,instances,cpu-time,memory,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
2502,2019,mu-toksia,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.703,2879488.0,834,672442,0.966769,3,12,1,823.0,823
2503,2019,pyglaf,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,13.318,2891776.0,834,672442,0.966769,3,12,1,823.0,823
2504,2019,taas-dredd,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,658.138,102490112.0,834,672442,0.966769,3,12,1,823.0,823
2505,2019,yonas,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,568.19,14545215488.0,834,672442,0.966769,3,12,1,823.0,823
2506,2019,aspartix19,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,16.158,2908160.0,834,672442,0.966769,3,12,1,823.0,823
2507,2019,coquiaas,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,4.254,2883584.0,834,672442,0.966769,3,12,1,823.0,823
2508,2019,eqargsolver,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.783,2887680.0,834,672442,0.966769,3,12,1,823.0,823
2509,2019,mu-toksia,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.694,2887680.0,834,672442,0.966769,3,12,1,823.0,823
2510,2019,pyglaf,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,10.559,2891776.0,834,672442,0.966769,3,12,1,823.0,823
2511,2019,taas-dredd,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.629,2883584.0,834,672442,0.966769,3,12,1,823.0,823
2512,2019,yonas,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,12.697,2883584.0,834,672442,0.966769,3,12,1,823.0,823
2513,2019,aspartix19,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,19.272,2899968.0,834,672442,0.966769,3,12,1,823.0,823
2514,2019,coquiaas,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,4.523,2887680.0,834,672442,0.966769,3,12,1,823.0,823
2515,2019,eqargsolver,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.735,2887680.0,834,672442,0.966769,3,12,1,823.0,823
2516,2019,mu-toksia,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.788,2891776.0,834,672442,0.966769,3,12,1,823.0,823
2517,2019,pyglaf,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,14.095,2879488.0,834,672442,0.966769,3,12,1,823.0,823
2518,2019,taas-dredd,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.59,2887680.0,834,672442,0.966769,3,12,1,823.0,823
2519,2019,yonas,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,12.614,2875392.0,834,672442,0.966769,3,12,1,823.0,823
2520,2019,aspartix19,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,6.915,2904064.0,691,449360,0.941105,3,23,1,669.0,669
2521,2019,coquiaas,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,3.189,2879488.0,691,449360,0.941105,3,23,1,669.0,669
2522,2019,eqargsolver,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.531,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2523,2019,mu-toksia,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.544,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2524,2019,pyglaf,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,8.58,2875392.0,691,449360,0.941105,3,23,1,669.0,669
2525,2019,taas-dredd,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,658.149,73519104.0,691,449360,0.941105,3,23,1,669.0,669
2526,2019,yonas,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,576.494,11742978048.0,691,449360,0.941105,3,23,1,669.0,669
2527,2019,aspartix19,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,6.591,2904064.0,691,449360,0.941105,3,23,1,669.0,669
2528,2019,coquiaas,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,3.482,2883584.0,691,449360,0.941105,3,23,1,669.0,669
2529,2019,eqargsolver,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.535,2879488.0,691,449360,0.941105,3,23,1,669.0,669
2530,2019,mu-toksia,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.536,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2531,2019,pyglaf,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,7.111,2891776.0,691,449360,0.941105,3,23,1,669.0,669
2532,2019,taas-dredd,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,657.147,73445376.0,691,449360,0.941105,3,23,1,669.0,669
2533,2019,yonas,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,573.687,11650617344.0,691,449360,0.941105,3,23,1,669.0,669
2534,2019,aspartix19,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,9.732,2908160.0,691,449360,0.941105,3,23,1,669.0,669
2535,2019,coquiaas,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,2.937,3055616.0,691,449360,0.941105,3,23,1,669.0,669
2536,2019,eqargsolver,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.559,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2537,2019,mu-toksia,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.58,2883584.0,691,449360,0.941105,3,23,1,669.0,669
2538,2019,pyglaf,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,9.375,2883584.0,691,449360,0.941105,3,23,1,669.0,669
2539,2019,taas-dredd,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.455,2879488.0,691,449360,0.941105,3,23,1,669.0,669
2540,2019,yonas,DC-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,11.571,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2541,2019,aspartix19,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,11.246,2908160.0,691,449360,0.941105,3,23,1,669.0,669
2542,2019,coquiaas,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,3.163,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2543,2019,eqargsolver,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.575,2883584.0,691,449360,0.941105,3,23,1,669.0,669
2544,2019,mu-toksia,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.622,2891776.0,691,449360,0.941105,3,23,1,669.0,669
2545,2019,pyglaf,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,9.572,2883584.0,691,449360,0.941105,3,23,1,669.0,669
2546,2019,taas-dredd,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,0.481,2887680.0,691,449360,0.941105,3,23,1,669.0,669
2547,2019,yonas,DS-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,11.387,2883584.0,691,449360,0.941105,3,23,1,669.0,669
2548,2019,aspartix19,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.403,2904064.0,141,183,0.00920477,7,98,15,3.86667,12
2549,2019,coquiaas,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.318,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2550,2019,eqargsolver,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.388,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2551,2019,mu-toksia,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.322,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2552,2019,pyglaf,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.652,2879488.0,141,183,0.00920477,7,98,15,3.86667,12
2553,2019,taas-dredd,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.256,2879488.0,141,183,0.00920477,7,98,15,3.86667,12
2554,2019,yonas,SE-PR,2019/instances/B-2-BA_140_30_5.tgf,41.908,3767234560.0,141,183,0.00920477,7,98,15,3.86667,12
2555,2019,aspartix19,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.49,2912256.0,141,183,0.00920477,7,98,15,3.86667,12
2556,2019,coquiaas,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.398,3047424.0,141,183,0.00920477,7,98,15,3.86667,12
2557,2019,eqargsolver,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.387,2887680.0,141,183,0.00920477,7,98,15,3.86667,12
2558,2019,mu-toksia,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.357,2887680.0,141,183,0.00920477,7,98,15,3.86667,12
2559,2019,pyglaf,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.667,2895872.0,141,183,0.00920477,7,98,15,3.86667,12
2560,2019,taas-dredd,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,0.254,2875392.0,141,183,0.00920477,7,98,15,3.86667,12
2561,2019,yonas,EE-PR,2019/instances/B-2-BA_140_30_5.tgf,551.852,8109608960.0,141,183,0.00920477,7,98,15,3.86667,12
2562,2019,aspartix19,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,0.368,2912256.0,141,183,0.00920477,7,98,15,3.86667,12
2563,2019,coquiaas,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,0.299,2875392.0,141,183,0.00920477,7,98,15,3.86667,12
2564,2019,eqargsolver,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,0.303,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2565,2019,mu-toksia,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,0.27,2891776.0,141,183,0.00920477,7,98,15,3.86667,12
2566,2019,pyglaf,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,0.651,2891776.0,141,183,0.00920477,7,98,15,3.86667,12
2567,2019,taas-dredd,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,0.249,2887680.0,141,183,0.00920477,7,98,15,3.86667,12
2568,2019,yonas,DC-PR,2019/instances/B-2-BA_140_30_5.tgf,9.063,2879488.0,141,183,0.00920477,7,98,15,3.86667,12
2569,2019,aspartix19,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,0.371,2912256.0,141,183,0.00920477,7,98,15,3.86667,12
2570,2019,coquiaas,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,0.296,3043328.0,141,183,0.00920477,7,98,15,3.86667,12
2571,2019,eqargsolver,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,0.301,2887680.0,141,183,0.00920477,7,98,15,3.86667,12
2572,2019,mu-toksia,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,0.263,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2573,2019,pyglaf,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,0.676,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2574,2019,taas-dredd,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,0.255,2883584.0,141,183,0.00920477,7,98,15,3.86667,12
2575,2019,yonas,DS-PR,2019/instances/B-2-BA_140_30_5.tgf,8.671,2887680.0,141,183,0.00920477,7,98,15,3.86667,12
2576,2019,aspartix19,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.403,3072000.0,35,96,0.0783673,2,2,1,34.0,34
2577,2019,coquiaas,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.32,2883584.0,35,96,0.0783673,2,2,1,34.0,34
2578,2019,eqargsolver,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,19.394,2883584.0,35,96,0.0783673,2,2,1,34.0,34
2579,2019,mu-toksia,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.259,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2580,2019,pyglaf,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.65,2891776.0,35,96,0.0783673,2,2,1,34.0,34
2581,2019,taas-dredd,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.268,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2582,2019,yonas,SE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,27.54,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2583,2019,aspartix19,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.502,2908160.0,35,96,0.0783673,2,2,1,34.0,34
2584,2019,coquiaas,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.752,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2585,2019,eqargsolver,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,19.672,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2586,2019,mu-toksia,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.582,2887680.0,35,96,0.0783673,2,2,1,34.0,34
2587,2019,pyglaf,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,1.024,2891776.0,35,96,0.0783673,2,2,1,34.0,34
2588,2019,taas-dredd,EE-PR,2019/instances/B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,0.266,2887680.0,35,96,0.0783673,2,2,1,34.0,34
