year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,Small-result-b52.tgf,SE-PR,0.386,2912256,COMPLETED,1
2019,aspartix19,Small-result-b53.tgf,SE-PR,0.377,2912256,COMPLETED,1
2019,aspartix19,Small-result-b54.tgf,SE-PR,0.386,2912256,COMPLETED,1
2019,aspartix19,Small-result-b55.tgf,SE-PR,0.398,2912256,COMPLETED,1
2019,aspartix19,Small-result-b56.tgf,SE-PR,0.381,2912256,COMPLETED,1
2019,aspartix19,Small-result-b57.tgf,SE-PR,0.367,2912256,COMPLETED,1
2019,aspartix19,Small-result-b58.tgf,SE-PR,0.374,2908160,COMPLETED,1
2019,aspartix19,Small-result-b59.tgf,SE-PR,0.374,2899968,COMPLETED,1
2019,aspartix19,Small-result-b6.tgf,SE-PR,0.386,2912256,COMPLETED,1
2019,aspartix19,Small-result-b60.tgf,SE-PR,0.383,2904064,COMPLETED,1
2019,aspartix19,Small-result-b61.tgf,SE-PR,0.373,2912256,COMPLETED,1
2019,aspartix19,Small-result-b62.tgf,SE-PR,0.375,2912256,COMPLETED,1
2019,aspartix19,Small-result-b63.tgf,SE-PR,0.376,2908160,COMPLETED,1
2019,aspartix19,Small-result-b64.tgf,SE-PR,0.372,2908160,COMPLETED,1
2019,aspartix19,Small-result-b65.tgf,SE-PR,0.38,2908160,COMPLETED,1
2019,aspartix19,Small-result-b66.tgf,SE-PR,0.39,2912256,COMPLETED,1
2019,aspartix19,Small-result-b67.tgf,SE-PR,0.386,2912256,COMPLETED,1
2019,aspartix19,Small-result-b68.tgf,SE-PR,0.375,2908160,COMPLETED,1
2019,aspartix19,Small-result-b69.tgf,SE-PR,0.376,2912256,COMPLETED,1
2019,aspartix19,Small-result-b70.tgf,SE-PR,0.382,2912256,COMPLETED,1
2019,aspartix19,Small-result-b71.tgf,SE-PR,0.371,2908160,COMPLETED,1
2019,aspartix19,Small-result-b72.tgf,SE-PR,0.374,3076096,COMPLETED,1
2019,aspartix19,Small-result-b73.tgf,SE-PR,0.369,2899968,COMPLETED,1
2019,aspartix19,Small-result-b74.tgf,SE-PR,0.362,2908160,COMPLETED,1
2019,aspartix19,Small-result-b75.tgf,SE-PR,0.374,2912256,COMPLETED,1
2019,aspartix19,Small-result-b76.tgf,SE-PR,0.378,2908160,COMPLETED,1
2019,aspartix19,Small-result-b77.tgf,SE-PR,0.375,2912256,COMPLETED,1
2019,aspartix19,Small-result-b78.tgf,SE-PR,0.378,2912256,COMPLETED,1
2019,aspartix19,Small-result-b79.tgf,SE-PR,0.37,2908160,COMPLETED,1
2019,aspartix19,Small-result-b8.tgf,SE-PR,0.366,2908160,COMPLETED,1
2019,aspartix19,Small-result-b80.tgf,SE-PR,0.387,2904064,COMPLETED,1
2019,aspartix19,Small-result-b81.tgf,SE-PR,0.368,2912256,COMPLETED,1
2019,aspartix19,Small-result-b82.tgf,SE-PR,0.376,2908160,COMPLETED,1
2019,aspartix19,Small-result-b83.tgf,SE-PR,0.355,2904064,COMPLETED,1
2019,aspartix19,Small-result-b84.tgf,SE-PR,0.381,2904064,COMPLETED,1
2019,aspartix19,Small-result-b85.tgf,SE-PR,0.375,2899968,COMPLETED,1
